R125	188.72	90.68	90.00	100	0805
R126	190.75	89.92	90.00	10k	0805
R127	207.01	5.59	90.00	150	0603-RES
R128	153.16	34.04	180.00	0	0603-RES
R129	149.86	34.04	0.00	0	0603-RES
R13	39.37	52.83	180.00	10M	0603-RES
R130	219.20	44.45	0.00	10M	0805
R131	221.49	42.42	0.00	10M	0805
R132	222.76	40.39	0.00	9.76M	0805
R133	222.25	45.21	270.00	10M	0805
R134	234.44	43.18	90.00	100k	0805
R135	231.39	41.40	0.00	100	0805
R136	231.65	39.37	0.00	10k	0805
R137	201.42	75.18	270.00		0603-RES
R138	171.45	55.88	90.00	10M	0603-RES
R139	203.45	77.47	90.00		0603-RES
R14	37.59	54.86	180.00	9.76M	0603-RES
R140	205.49	77.47	90.00		0603-RES
R141	201.42	78.49	90.00	10M	0805
R142	203.45	80.77	90.00	10M	0805
R143	205.49	82.55	90.00	9.76M	0805
R144	200.15	81.53	0.00	10M	0805
R145	200.91	92.20	180.00	100k	0805
R146	204.47	90.93	90.00	100	0805
R147	206.50	91.19	90.00	10k	0805
R148	173.48	57.15	90.00	10M	0603-RES
R149	161.80	34.04	180.00	0	0603-RES
R15	37.59	50.04	90.00	10M	0603-RES
R150	158.50	34.04	0.00	0	0603-RES
R151	220.47	30.73	0.00	10M	0805
R152	221.36	28.45	0.00	10M	0805
R153	223.52	26.67	0.00	9.76M	0805
R154	223.27	31.24	270.00	10M	0805
R155	234.95	27.94	90.00	100k	0805
R156	232.16	27.05	0.00	100	0805
R157	232.16	25.15	0.00	10k	0805
R158	218.19	75.18	270.00		0603-RES
R159	175.51	58.93	90.00	9.76M	0603-RES
R16	28.45	51.31	270.00	100k	0603-RES
R160	220.22	77.47	90.00		0603-RES
R161	222.25	77.47	90.00		0603-RES
R162	218.19	78.49	90.00	10M	0805
R163	221.23	80.77	90.00	10M	0805
R164	223.27	82.55	90.00	9.76M	0805
R165	217.42	81.53	0.00	10M	0805
R166	218.19	91.19	180.00	100k	0805
R167	221.23	89.41	90.00	100	0805
R168	223.27	89.41	90.00	10k	0805
R169	170.69	58.93	0.00	10M	0603-RES
R17	30.73	54.86	180.00	100	0603-RES
R170	170.43	34.04	180.00	0	0603-RES
R171	167.13	34.04	0.00	0	0603-RES
R172	220.22	17.02	0.00	10M	0805
R173	219.96	14.99	0.00	10M	0805
R174	222.25	12.95	0.00	9.76M	0805
R175	223.27	17.78	270.00	10M	0805
R176	234.44	14.99	90.00	100k	0805
R177	231.65	12.45	0.00	100	0805
R178	231.90	10.41	0.00	10k	0805
R179	233.93	73.66	270.00		0603-RES
R18	30.99	56.90	180.00	10k	0603-RES
R180	172.47	68.58	180.00	100k	0603-RES
R181	236.47	76.45	90.00		0603-RES
R182	238.51	76.20	90.00		0603-RES
R183	233.93	77.22	90.00	10M	0805
R184	236.47	80.01	90.00	10M	0805
R185	238.51	82.30	90.00	9.76M	0805
R186	232.92	80.01	0.00	10M	0805
R187	234.70	90.68	180.00	100k	0805
R188	238.51	90.17	90.00	100	0805
R189	240.54	90.42	90.00	10k	0805
R19	205.74	14.48	180.00	1k	0603-RES
R190	177.80	14.48	0.00	220	0603-RES
R191	335.03	14.48	180.00	1k	0603-RES
R192	304.04	65.53	90.00	100	0603-RES
R193	306.07	65.79	90.00	10k	0603-RES
R194	299.09	50.93	180.00	10M	0603-RES
R195	298.20	52.83	180.00	10M	0603-RES
R196	296.42	54.86	180.00	9.76M	0603-RES
R197	296.42	50.04	90.00	10M	0603-RES
R198	287.27	51.31	270.00	100k	0603-RES
R199	289.56	54.86	180.00	100	0603-RES
R2	72.39	14.48	180.00	1k	0603-RES
R20	13.46	34.04	180.00	0	0603-RES
R200	289.81	56.90	180.00	10k	0603-RES
R201	331.22	14.48	180.00	1k	0603-RES
R202	272.29	34.04	180.00	0	0603-RES
R203	268.99	34.04	0.00	0	0603-RES
R204	348.11	59.44	0.00	10M	0805
R205	352.30	57.15	0.00	10M	0805
R206	352.55	54.61	0.00	9.76M	0805
R207	351.54	60.45	270.00	10M	0805
R208	363.86	58.29	90.00	100k	0805
R209	361.19	57.02	0.00	100	0805
R21	10.16	34.04	0.00	0	0603-RES
R210	361.19	55.25	0.00	10k	0805
R211	313.44	78.74	90.00	10M	0805
R212	333.76	5.59	270.00	150	0603-RES
R213	313.44	74.93	270.00		0603-RES
R214	315.47	77.22	90.00		0603-RES
R215	317.50	77.22	90.00		0603-RES
R216	315.72	80.77	90.00	10M	0805
R217	317.50	82.80	90.00	9.76M	0805
R218	312.93	82.04	0.00	10M	0805
R219	314.71	91.69	180.00	100k	0805
R22	89.28	59.44	0.00	10M	0805
R220	318.01	90.68	90.00	100	0805
R221	320.04	89.92	90.00	10k	0805
R222	336.30	5.59	90.00	150	0603-RES
R223	282.45	34.04	180.00	0	0603-RES
R224	279.15	34.04	0.00	0	0603-RES
R225	348.49	44.45	0.00	10M	0805
R226	350.77	42.42	0.00	10M	0805
R227	352.04	40.39	0.00	9.76M	0805
R228	351.54	45.21	270.00	10M	0805
R229	363.73	43.18	90.00	100k	0805
R23	93.47	57.15	0.00	10M	0805
R230	360.68	41.40	0.00	100	0805
R231	360.93	39.37	0.00	10k	0805
R232	330.71	75.18	270.00		0603-RES
R233	300.74	55.88	90.00	10M	0603-RES
R234	332.74	77.47	90.00		0603-RES
R235	334.77	77.47	90.00		0603-RES
R236	330.71	78.49	90.00	10M	0805
R237	332.74	80.77	90.00	10M	0805
R238	334.77	82.55	90.00	9.76M	0805
R239	329.44	81.53	0.00	10M	0805
R24	93.73	54.61	0.00	9.76M	0805
R240	330.20	92.20	180.00	100k	0805
R241	333.76	90.93	90.00	100	0805
R242	335.79	91.19	90.00	10k	0805
R243	302.77	57.15	90.00	10M	0603-RES
R244	291.08	34.04	180.00	0	0603-RES
R245	287.78	34.04	0.00	0	0603-RES
R246	349.76	30.73	0.00	10M	0805
R247	350.65	28.45	0.00	10M	0805
R248	352.81	26.67	0.00	9.76M	0805
R249	352.55	31.24	270.00	10M	0805
R25	92.71	60.45	270.00	10M	0805
R250	364.24	27.94	90.00	100k	0805
R251	361.44	27.05	0.00	100	0805
R252	361.44	25.15	0.00	10k	0805
R253	347.47	75.18	270.00		0603-RES
R254	304.80	58.93	90.00	9.76M	0603-RES
